,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points
14272,WM,0,1,-2,0,-1,0,-1,-1,0,-2,-2,-3,1,3,-4,0,1,-1,0,2,2,3,5588.037461734636,4206.122681626095,296.23265859424936,152.2056208894123,0,0,48,617.79,22,908.01
14273,WM,0,0,1,0,4,2,-1,0,2,6,-1,1,0,0,2,1,1,-2,-1,3,1,3,1099.8822291305596,1201.089781611409,387.2313520021293,315.32662579570524,0,0,34,750.75,6,1198.72
14274,WM,0,1,3,-1,3,-1,3,0,0,0,4,1,1,1,0,0,4,3,1,0,1,1,2260.273338054757,2944.735635207555,272.2771701305611,182.6467450672948,0,0,3,1298.32,21,909.91
14275,WM,0,0,-1,1,-2,-2,0,1,-2,0,2,-1,-1,3,-1,1,1,1,0,0,1,-1,6885.200337894707,11556.491184696586,210.9955341561328,159.9046111755513,0,0,57,543.67,15,989.44
14276,WM,0,1,-1,1,1,0,-1,0,-1,-1,0,-1,0,1,0,0,4,0,2,1,6,-2,2558.175302554372,2293.4399743362824,226.8976417754676,289.91314326905905,0,0,1,1558.49,24,879.9
14277,WM,0,1,1,-3,2,-1,1,0,0,1,1,-6,0,-1,0,0,1,-1,1,5,1,1,2896.519676529333,11124.226253403747,141.40066313706174,241.59428605754917,0,0,12,1050.84,55,571.17
14278,WM,0,0.5,1,1,2,2,-2,-1,-2,0,-1,0,0,0,-3,1,1,2,1,2,-1,0,6098.0911317966675,7925.571429012286,203.13455115286428,284.3759116973796,0,0,61,520.75,27,837.98
14279,WM,0,0,-1,-1,4,0,0,0,1,1,-1,4,-1,-1,0,0,2,-1,5,0,3,0,1871.546177497777,10979.573758055407,144.28530587158986,61.69014380669272,0,0,8,1182.61,16,985.97
14280,WM,0,1,-1,-2,-5,-1,-1,-3,-3,0,-1,0,2,-1,2,-1,-4,0,0,1,-3,1,2679.0955125519795,2358.645309495269,79.11071449787832,257.88158117365526,0,0,67,465.28,45,649.43
14281,WM,0,1,1,2,1,5,3,0,1,-1,2,-2,-1,-3,0,0,2,-1,0,0,1,2,14063.266654896615,857.0313361777194,199.02679771561498,236.92168431669404,0,0,14,1018.41,70,456.53
14282,WM,0,0.5,-1,1,1,0,1,3,-1,0,1,0,1,-3,-1,1,4,0,1,3,1,2,2110.1497119137207,4384.395373119365,61.69014380669272,102.91491980690395,0,0,211,0,4,1273.69
14283,WM,0,0.5,1,-1,0,-1,1,2,0,1,5,0,0,2,0,1,5,4,1,0,3,2,2395.5111305594737,3409.844236863601,362.1771698315931,218.37659703924382,0,0,10,1125.5,41,685.86
14284,WM,0,0,0,1,1,1,2,0,0,2,0,2,1,2,-1,-1,-1,0,4,2,0,1,1565.5395216171955,2493.691069065942,171.40626723554388,284.3759116973796,0,0,12,1051.44,7,1198.13
14285,WM,0,0.5,0,-1,-1,-1,1,0,4,3,0,2,-3,2,2,2,0,2,0,0,0,0,14135.095751708923,13076.640972233225,262.84955983831884,416.089952934569,0,0,36,718.33,11,1125.39
14286,WM,0,0,2,-3,-2,0,-1,4,-1,-5,0,2,-2,-2,1,1,-4,2,1,0,0,0,5958.887814883729,13196.533852986791,386.82237176048284,179.75193776273355,0,0,48,617.79,5,1241.45
14287,WM,0,0,-2,3,0,2,0,1,-1,-2,-2,1,-3,-2,3,0,0,3,-1,2,2,0,4098.8101713154165,1820.2547169643708,98.88839312234786,210.9955341561328,0,0,22,908.01,20,945.18
14288,WM,0,0,-1,2,1,0,4,3,-1,2,2,1,-1,3,0,0,2,2,1,3,-1,0,1715.7791773600586,11791.179547405127,218.37659703924382,127.23059732160955,0,0,34,750.75,2,1430.57
14289,WM,0,1,1,-2,0,-1,2,-3,0,-2,6,3,1,-1,0,1,1,-1,-2,-5,3,-1,2649.419859940266,11258.157276228874,297.50839047009487,179.75193776273355,0,0,6,1198.72,23,884.04
14290,WM,0,0.5,-1,1,-1,-1,-2,1,0,-1,-2,-1,2,0,-1,0,-1,0,1,4,0,2,5938.952678680013,2752.0081894405407,288.2357269883583,378.39403623491495,0,0,57,543.67,1,1558.49
14291,WM,0,0,1,-1,1,1,-2,0,1,0,0,-1,-1,-1,3,1,1,0,1,0,0,1,11343.622469709426,2483.7360641029445,444.41128339938126,520.1124411682113,0,0,15,989.44,24,879.9
14292,WM,0,0,5,3,1,3,2,3,1,3,0,0,1,4,0,1,0,0,1,4,1,1,1421.5378024320255,1168.6785134314493,371.88548808761874,218.37659703924382,0,0,12,1050.84,3,1298.32
14293,WM,0,0,-5,-3,-3,-1,-1,-1,0,0,1,0,-6,1,-1,1,0,0,-1,3,5,0,11319.119157102106,3291.9424582408874,62.49283449696746,102.91491980690395,0,0,55,571.17,21,909.91
14294,WM,0,0,0,-3,1,-1,2,4,-2,0,-2,1,-1,-1,0,-1,-3,0,1,2,1,5,7433.325520636021,1706.1790346512914,351.80660609237367,211.75079038976259,0,0,61,520.75,8,1182.61
14295,WM,0,0,0,3,1,-1,2,0,-1,0,0,1,0,4,0,-1,1,0,2,-1,2,0,7220.075328262743,11196.734530461152,195.72022824603704,73.66549410885263,0,0,27,837.98,16,985.97
14296,WM,0,1,3,0,1,1,1,0,3,3,1,0,2,0,-1,-3,0,1,2,0,0,3,13009.410023448545,4077.831368835712,262.84955983831884,248.83154992590408,0,0,14,1018.41,4,1273.69
