,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points
14280,WM,0,1,-1,-2,-5,-1,-1,-3,-3,0,-1,0,2,-1,2,-1,-4,0,0,1,-3,1,2679.0955125519795,2358.645309495269,79.11071449787832,257.88158117365543,0,0,56,1611.6292016343,52,1622.2221976435
14281,WM,-1,1,1,2,1,5,3,0,1,-1,2,-2,-1,-3,0,0,2,-1,0,0,1,2,14063.266654896615,857.0313361777194,199.02679771561498,236.92168431669404,0.2,0.16666666666666666,13,1778.38323829708,45,1639.14459122057
14282,WM,0,0.5,-1,1,1,0,1,3,-1,0,1,0,1,-3,-1,1,4,0,1,3,1,2,2110.1497119137207,4384.395373119365,61.69014380669272,102.91491980690395,0,0,19,1730.38100224724,5,1841.54613565046
14283,WM,0,0.5,1,-1,0,-1,1,2,0,1,5,0,0,2,0,1,5,4,1,0,3,2,2395.5111305594737,3409.844236863601,362.177169831593,218.3765970392437,-0.2,-0.2,3,1886.1622922354104,39,1665.4482221971398
14284,WM,0,0,0,1,1,1,2,0,0,2,0,2,1,2,-1,-1,-1,0,4,2,0,1,1565.5395216171955,2493.691069065942,171.40626723554388,284.3759116973796,-0.2,-0.4,21,1708.64848099185,6,1824.54398393577
14285,WM,0,0.5,0,-1,-1,-1,1,0,4,3,0,2,-3,2,2,2,0,2,0,0,0,0,14135.095751708923,13076.640972233225,262.84955983831884,416.08995293456934,-0.2,-0.4,30,1680.6602849037,10,1796.3423960733999
14286,WM,0,0,2,-3,-2,0,-1,4,-1,-5,0,2,-2,-2,1,1,-4,2,1,0,0,0,5958.887814883729,13196.533852986791,386.82237176048307,179.75193776273358,0,0,44,1639.6961730126502,4,1867.2606061059696
14287,WM,0,0,-2,3,0,2,0,1,-1,-2,-2,1,-3,-2,3,0,0,3,-1,2,2,0,4098.8101713154165,1820.2547169643708,98.88839312234786,210.9955341561328,0,0,25,1706.40950275612,17,1763.20808783825
14288,WM,0,0,-1,2,1,0,4,3,-1,2,2,1,-1,3,0,0,2,2,1,3,-1,0,1715.7791773600586,11791.179547405127,218.3765970392437,127.23059732160955,0.2,0,23,1706.8762606530704,1,1938.2546495962602
14289,WM,0,1,1,-2,0,-1,2,-3,0,-2,6,3,1,-1,0,1,1,-1,-2,-5,3,-1,2649.419859940266,11258.157276228874,297.50839047009515,179.75193776273358,0.2,0,211,0,22,1708.53583392586
