,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points,Cont,ContQ,FSS,KFC,WM,WM-Q
4465,FSS,1,-1.0,-2,2,1,-2,-1,3,1,2,2,2,7,6,-1,1,2,0,0,0,1,4,421.5692567513133,933.4107641236287,0.0,0.0,0.0,0.0,4.0,1355.48,9.0,1111.63,0,0,1,0,0,0
4466,FSS,1,1.0,1,-1,2,-3,2,0,1,0,0,1,7,1,-2,-1,0,-2,4,-1,0,0,301.93350278801563,1122.9936123871696,47.975495286517926,0.0,0.0,0.0,31.0,789.26,46.0,615.27,0,0,1,0,0,0
4467,FSS,1,0.0,1,2,1,2,-1,1,1,3,0,-2,0,0,1,0,4,4,0,4,-1,0,0.0,300.08750743399514,0.0,72.5523936964763,0.0,0.0,19.0,950.9,18.0,965.08,0,0,1,0,0,0
4468,FSS,1,1.0,-2,-1,1,-3,2,0,1,1,7,-1,1,-1,-1,-2,2,-4,0,-4,3,0,0.0,874.1689627536364,0.0,510.8066026029974,0.0,0.3333333333333333,23.0,891.57,128.0,273.64,0,0,1,0,0,0
4469,ContQ,1,0.0,-2,2,-1,2,1,0,0,-1,-3,1,-1,0,4,1,4,1,-1,6,-2,1,0.0,5191.617584992466,1664.0114612640814,1664.0114612640814,0.6666666666666666,0.6666666666666666,100.0,336.98,41.0,655.91,0,1,0,0,0,0
4470,ContQ,1,-1.0,-1,1,0,-2,-2,0,0,-2,2,0,-2,0,1,0,0,-2,3,2,-1,0,0.0,5973.000930770781,1493.2502326926956,1493.2502326926956,0.75,0.75,103.0,330.98,147.0,207.21,0,1,0,0,0,0
4471,ContQ,1,1.0,-1,1,-2,-2,1,0,2,0,2,0,-1,-1,1,-3,0,-3,0,0,-2,-2,419.53445701216003,2002.3084296782545,667.4361432260843,667.4361432260843,-0.3333333333333333,-0.3333333333333333,92.0,370.29,173.0,119.44,0,1,0,0,0,0
4472,ContQ,1,0.0,0,0,1,0,1,0,-1,1,0,1,1,2,2,1,-1,0,0,3,-2,-3,0.0,1884.104594034952,439.1356488525534,439.1356488525534,-0.25,-0.25,59.0,563.93,78.0,456.56,0,1,0,0,0,0
4473,ContQ,1,1.0,0,0,0,-2,-1,0,-1,1,0,6,2,0,0,-2,0,0,2,1,1,0,0.0,954.063655466236,477.031827733118,477.031827733118,0.0,0.0,131.0,270.58,124.0,277.17,0,1,0,0,0,0
4474,FSS,1,-1.0,2,-2,-2,-5,-2,-1,-5,0,-4,-1,-5,-1,2,-2,-1,16,-1,0,0,4,0.0,1405.0837905484916,0.0,0.0,0.0,0.0,200.0,25.64,202.0,4.25,0,0,1,0,0,0
4475,FSS,1,-1.0,0,1,2,5,3,4,1,3,0,1,2,3,2,8,0,0,1,0,-1,2,0.0,3696.9986108763233,1828.987186768114,1223.2880580926656,0.8333333333333334,-0.6666666666666666,118.0,288.4,57.0,565.74,0,0,1,0,0,0
4476,FSS,1,0.0,1,0,0,2,3,1,0,4,0,1,0,2,0,1,1,1,1,-2,0,1,325.0356872301398,2300.7235417263987,87.84801717815456,266.43467991050306,0.25,0.6666666666666666,16.0,990.42,3.0,1373.71,0,0,1,0,0,0
4477,ContQ,1,1.0,1,-1,-2,0,1,2,-1,0,0,2,0,-4,-5,0,-3,1,-1,-2,1,-2,0.0,3235.676934700165,808.9192336750413,808.9192336750413,-0.5,-0.5,77.0,463.58,140.0,245.57,0,1,0,0,0,0
