,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points,Cont,ContQ,FSS,KFC,WM,WM-Q
1913,WM-Q,1,-1.0,-4,1,-7,-1,-9,0,-1,0,-7,0,1,2,-3,0,-2,0,-3,-1,-4,-1,0.0,3525.874603281333,0.0,705.1749206562666,0.0,0.4,201.0,982.945722956469,97.0,1480.97485746426,0,0,0,0,0,1
1914,Cont,0,1.0,3,0,2,1,0,0,3,2,1,1,3,-1,-1,0,1,0,2,2,-1,6,630.9453777582584,436.2321632617589,0.0,23.803107594207287,0.0,0.0,7.0,1804.97496141519,4.0,1830.89866380672,1,0,0,0,0,0
1915,Cont,0,0.0,-3,0,2,4,-1,3,2,-1,2,5,1,-1,2,2,2,1,1,-2,0,2,217.60499007411124,1397.87318311302,23.803107594207287,0.0,0.0,0.0,3.0,1854.1481376856202,10.0,1778.2213689010102,1,0,0,0,0,0
1916,WM-Q,1,1.0,-1,4,7,1,0,-2,2,1,3,3,-2,1,-1,0,-1,3,-1,2,0,0,0.0,5087.540545316335,416.63501968612167,453.47731227731583,0.16666666666666666,-0.14285714285714285,134.0,1380.63579615284,17.0,1721.0140329570804,0,0,0,0,0,1
1917,WM-Q,1,1.0,0,3,0,-1,1,0,0,1,1,-1,0,-2,0,-2,-2,-1,-1,0,-3,2,11.339645156580586,3201.192536644764,0.0,400.1490670805954,0.0,-0.125,118.0,1416.1276356864096,106.0,1461.44362647547,0,0,0,0,0,1
1918,WM-Q,1,1.0,-3,1,1,3,0,-1,2,0,-1,2,0,0,-1,-1,2,0,7,-3,2,1,0.0,2370.8669725454693,569.2896954156316,610.3328020518485,0.3333333333333333,0.3333333333333333,114.0,1436.41771080968,63.0,1576.55446046112,0,0,0,0,0,1
1919,WM-Q,1,-1.0,-1,3,-1,-3,0,-2,-2,-3,-2,-1,2,-1,-2,-2,0,1,-2,2,0,0,0.0,789.6327413498162,0.0,131.60545689163604,0.0,0.0,157.0,1314.02719867673,126.0,1404.87238251563,0,0,0,0,0,1
1920,WM-Q,1,-1.0,-2,2,0,1,0,-1,-3,-4,-2,-1,-4,-1,-5,-1,-2,-2,-3,0,1,0,3.0182450044489806,6578.775875301001,0.0,939.8251250430002,0.0,0.5714285714285714,173.0,1237.45413609501,131.0,1388.6678306560598,0,0,0,0,0,1
1921,WM-Q,1,0.0,1,0,0,1,-1,-1,3,0,-1,-2,-1,-2,-1,-3,0,5,1,3,0,3,0.0,4646.714262825865,118.32259339815602,386.8712801682913,0.0,-0.16666666666666666,129.0,1394.23384033496,21.0,1707.57992263887,0,0,0,0,0,1
1922,WM-Q,1,1.0,-1,1,0,3,0,-1,0,-1,2,2,-1,-1,1,1,0,2,0,1,-6,1,0.0,1414.1262771831384,517.0403055432406,620.0899220558997,-0.14285714285714285,-0.16666666666666666,104.0,1470.83048604698,32.0,1688.1467311563001,0,0,0,0,0,1
