,Unnamed: 0,FT H,FT G,AET H,AET G,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points
1490,1490,2,0,,,FSS,1,1.0,1,1,1,1,-2,-3,-1,0,-1,3,-2,1,-3,0,1,1,1,5,1,3,4190.506012465024,8919.51022487539,0.0,729.3894086981012,0.0,-0.3333333333333333,20.0,0.0,22.0,0.0
1491,1491,2,1,,,Cont,1,1.0,2,6,2,3,-5,-2,2,4,0,0,-1,2,0,0,3,2,0,-1,2,-1,201.11958641363697,1551.871849628319,0.0,383.90394819771416,0.0,-0.1111111111111111,43.0,0.0,33.0,0.0
1492,1492,1,2,,,FSS,1,-1.0,1,0,0,0,1,-3,-2,-1,4,-1,1,0,6,-3,1,-1,5,-2,5,3,0.0,701.8181991421112,6.493375366446854,0.0,0.0,0.0,129.0,0.0,176.0,0.0
1493,1493,0,0,,,FSS,1,0.0,0,-1,4,0,7,3,-3,0,0,-3,4,-1,-3,0,-1,4,2,0,-2,0,252.9728223089128,7281.552275528557,563.0441869635454,0.0,0.4,0.0,82.0,0.0,133.0,0.0
1494,1494,1,0,,,Cont,0,1.0,-1,-1,-1,-2,-1,1,2,2,1,0,6,3,1,0,0,0,0,-1,2,-1,1093.1531877443165,484.94166756336375,571.1809452809807,164.4290728191697,-0.3636363636363637,0.0,47.0,0.0,94.0,0.0
1495,1495,0,1,,,Cont,0,-1.0,2,2,1,5,-1,-1,0,-1,2,0,0,0,2,5,-1,3,1,3,1,1,1114.3153009434088,263.48371453481997,292.05239203655015,653.073375340213,-0.08333333333333333,-0.3333333333333333,19.0,0.0,38.0,0.0
1496,1496,1,5,,,Cont,0,-1.0,-2,1,-3,2,-2,3,-1,0,-2,2,1,-2,1,1,-1,2,1,0,0,0,3633.8484511786096,2997.580976906481,237.8511379206456,644.9629442501658,0.0,0.0,119.0,0.0,39.0,0.0
1497,1497,4,2,,,Cont,0,1.0,0,-1,1,-2,3,1,1,1,0,2,-3,0,1,0,0,3,0,3,0,0,4299.6905007891655,1490.0840456125745,404.94708773998224,0.0,0.0,0.0,35.0,0.0,25.0,0.0
1498,1498,0,3,,,Cont,0,-1.0,-6,-2,-2,-1,0,1,1,-1,1,0,0,3,1,2,1,-2,1,0,2,0,3852.707988923545,4106.052852873981,301.06668408669253,304.6939924620052,-0.09090909090909093,0.0,94.0,0.0,67.0,0.0
1499,1499,0,1,,,FSS,1,-1.0,-2,-3,-1,0,-1,0,-1,-4,-4,2,-2,-4,-4,-1,-4,1,2,-1,1,-2,34.25964646236446,382.0884633393966,0.0,0.0,0.0,0.0,201.0,0.0,135.0,0.0
1500,1500,1,1,,,Cont,0,0.0,1,-1,2,0,2,-3,-1,1,0,-1,-2,-2,1,0,0,2,-2,3,-1,0,5028.983532054357,2550.119212045855,789.1673812464403,399.1708041986168,-0.2857142857142857,0.0,78.0,0.0,72.0,0.0
1501,1501,2,2,,,Cont,0,0.0,1,1,-1,2,0,-3,2,1,1,2,-1,4,0,0,2,0,4,1,3,0,3232.7495656028527,1899.3520842793369,0.0,48.0370676901951,0.0,0.0,46.0,0.0,40.0,0.0
1502,1502,1,2,,,FSS,1,-1.0,1,0,0,7,3,3,2,1,2,3,-2,-1,-4,4,1,1,-1,3,-2,2,0.0,1595.883411479047,0.0,159.58834114790483,0.0,0.1,100.0,0.0,104.0,0.0
1503,1503,3,2,,,Cont,0,1.0,-1,4,6,1,3,2,-2,3,4,0,0,2,2,-2,0,1,2,2,-1,0,1551.871849628319,2997.580976906481,0.0,0.0,0.0,0.0,33.0,0.0,39.0,0.0
1504,1504,1,0,,,Cont,1,1.0,1,-4,2,-2,2,-3,-5,-2,2,-1,0,-2,-1,1,0,1,3,-1,0,1,201.11958641363697,3633.8484511786096,0.0,0.0,0.0,0.0,43.0,0.0,119.0,0.0
1505,1505,1,1,,,FSS,0,0.0,3,0,2,7,-2,-1,2,1,-2,0,3,2,-1,0,0,2,0,0,3,-2,2030.1610539714165,942.805196064224,0.0,0.0,0.0,0.0,112.0,0.0,67.0,0.0
1506,1506,2,0,,,FSS,0,1.0,0,-1,2,-2,3,1,4,0,-2,0,0,-1,-3,-1,-1,0,1,-1,0,10,5467.36734490104,1238.2511467455033,0.0,107.41078295843158,0.0,0.125,126.0,0.0,115.0,0.0
1507,1507,4,1,,,Cont,0,1.0,1,-1,2,-1,5,-2,-1,1,-1,2,0,0,0,3,5,0,3,0,3,-1,263.48371453481997,484.94166756336375,0.0,0.0,0.0,0.0,38.0,0.0,94.0,0.0
